00A YYYY.dec             Lat            Lon        Depth     cumD(cm)                 EVID                       CSID                   Mag        D(cm)
2004.3719365702793      36.81346     -121.53363    6.922     42.33324             21364487    SJBPK1010_freq8-24Hz_maxdist3_coh9700   2.12      8.27180
2004.3582154422181      36.59157     -121.05616    8.032      4.79126             21363585    SJBPK1011_freq8-24Hz_maxdist3_coh9700   1.19      4.79126
2009.4814775494672      36.59157     -121.05616    8.032      9.36267             71238711    SJBPK1011_freq8-24Hz_maxdist3_coh9700   1.11      4.57141
2013.5790008244546      36.59157     -121.05616    8.032     13.96100             72040596    SJBPK1011_freq8-24Hz_maxdist3_coh9700   1.12      4.59833
2004.3511901057477      36.93968     -121.42134    8.379      5.05126             21363204    SJBPK1012_freq8-24Hz_maxdist3_coh9700   1.28      5.05126
2012.3032202173142      36.93968     -121.42134    8.379      9.36199             71768265    SJBPK1012_freq8-24Hz_maxdist3_coh9700   1.01      4.31072
2012.3032202173142      35.98798     -120.54571    4.678      4.81948             30224229    SJBPK1013_freq8-24Hz_maxdist3_coh9700   1.20      4.81948
2004.3427589936248      35.98798     -120.54571    4.678      9.18112             21362491    SJBPK1013_freq8-24Hz_maxdist3_coh9700   1.03      4.36164
2004.3427589936248      35.98798     -120.54571    4.678     13.72577             21420654    SJBPK1013_freq8-24Hz_maxdist3_coh9700   1.10      4.54465
2005.0026905758498      35.98798     -120.54571    4.678     18.06187             21431472    SJBPK1013_freq8-24Hz_maxdist3_coh9700   1.02      4.33611
2005.0293205542871      35.98798     -120.54571    4.678     22.44920             21433014    SJBPK1013_freq8-24Hz_maxdist3_coh9700   1.04      4.38733
2005.2424446029934      35.98798     -120.54571    4.678     26.81084             21447734    SJBPK1013_freq8-24Hz_maxdist3_coh9700   1.03      4.36164
2005.5476053082191      35.98798     -120.54571    4.678     31.30243             21470260    SJBPK1013_freq8-24Hz_maxdist3_coh9700   1.08      4.49159
2005.5476053082191      35.98798     -120.54571    4.678     35.84707             21470314    SJBPK1013_freq8-24Hz_maxdist3_coh9700   1.10      4.54465
2005.7830164256723      35.98798     -120.54571    4.678     40.28623             21489320    SJBPK1013_freq8-24Hz_maxdist3_coh9700   1.06      4.43915
2005.7831838533739      35.98798     -120.54571    4.678     44.75152             21489334    SJBPK1013_freq8-24Hz_maxdist3_coh9700   1.07      4.46529
2004.3414418892937      36.44837     -121.02461    6.102      4.38733             21362415    SJBPK1014_freq8-24Hz_maxdist3_coh9700   1.04      4.38733
2018.4121953957383      36.44837     -121.02461    6.102      8.74897             73023371    SJBPK1014_freq8-24Hz_maxdist3_coh9700   1.03      4.36164
2004.3286699934224      36.77702     -121.47203    4.014     13.15376             21361148    SJBPK1015_freq8-24Hz_maxdist3_coh9700   2.91     13.15376
2009.4549444127347      36.77702     -121.47203    4.014     26.00219             40238239    SJBPK1015_freq8-24Hz_maxdist3_coh9700   2.87     12.84843
2004.3151364222829      36.46935     -121.04537    2.869      4.84786             21359939    SJBPK1016_freq8-24Hz_maxdist3_coh9700   1.21      4.84786
2005.8863406265855      36.46935     -121.04537    2.869      9.33945             21495776    SJBPK1016_freq8-24Hz_maxdist3_coh9700   1.08      4.49159
2006.9091088914256      36.46935     -121.04537    2.869     14.07478             21549807    SJBPK1016_freq8-24Hz_maxdist3_coh9700   1.17      4.73533
2007.8458191273464      36.46935     -121.04537    2.869     18.38550             40205041    SJBPK1016_freq8-24Hz_maxdist3_coh9700   1.01      4.31072
2008.7310361642380      36.46935     -121.04537    2.869     23.26190             51208584    SJBPK1016_freq8-24Hz_maxdist3_coh9700   1.22      4.87641
2015.2493314307458      36.46935     -121.04537    2.869     27.59801             72424756    SJBPK1016_freq8-24Hz_maxdist3_coh9700   1.02      4.33611
2018.4056294076611      36.46935     -121.04537    2.869     31.88350             73022025    SJBPK1016_freq8-24Hz_maxdist3_coh9700   1.00      4.28549
1999.1187746385083      37.08977     -122.03558    9.371      5.84992             30217085    SJBPK1017_freq8-24Hz_maxdist3_coh9700   1.53      5.84992
2004.3065877985225      37.08977     -122.03558    9.371     10.42133             21359477    SJBPK1017_freq8-24Hz_maxdist3_coh9700   1.11      4.57141
1994.8563633307965      36.98168     -121.64454    4.451      7.44218             30062325    SJBPK1018_freq8-24Hz_maxdist3_coh9700   1.94      7.44218
2004.2860587747925      36.98168     -121.64454    4.451     14.71160             21358095    SJBPK1018_freq8-24Hz_maxdist3_coh9700   1.90      7.26942
2004.2801385410341      36.00301     -120.56143    9.880      4.51804             21357630    SJBPK1019_freq8-24Hz_maxdist3_coh9700   1.09      4.51804
2004.7521402550092      36.00301     -120.56143    9.880      9.03608             21402426    SJBPK1019_freq8-24Hz_maxdist3_coh9700   1.09      4.51804
2004.8385067230824      36.00301     -120.56143    9.880     13.60749             21416692    SJBPK1019_freq8-24Hz_maxdist3_coh9700   1.11      4.57141
2004.8991953804898      36.00301     -120.56143    9.880     18.12552             21422530    SJBPK1019_freq8-24Hz_maxdist3_coh9700   1.09      4.51804
2005.0849737442923      36.00301     -120.56143    9.880     22.64356             21436697    SJBPK1019_freq8-24Hz_maxdist3_coh9700   1.09      4.51804
2012.8053086419752      36.30984     -120.85564    7.047      6.16737             71864225     SJBPK101_freq8-24Hz_maxdist3_coh9700   1.62      6.16737
2012.8224954146428      36.30984     -120.85564    7.047     11.30840             71869650     SJBPK101_freq8-24Hz_maxdist3_coh9700   1.31      5.14103
2004.2707561728396      37.30288     -122.23431    3.880      4.49159             21356797    SJBPK1020_freq8-24Hz_maxdist3_coh9700   1.08      4.49159
2004.2719339139344      37.30288     -122.23431    3.880     12.24602             21356894    SJBPK1020_freq8-24Hz_maxdist3_coh9700   2.01      7.75443
2004.2640696784558      36.76049     -121.39828    8.720      4.41316             21356197    SJBPK1021_freq8-24Hz_maxdist3_coh9700   1.05      4.41316
2004.2661315396681      36.76049     -121.39828    8.720     10.06058             30227332    SJBPK1021_freq8-24Hz_maxdist3_coh9700   1.47      5.64742
2004.2630551128314      36.00457     -120.56195    5.428      4.57141             21356119    SJBPK1022_freq8-24Hz_maxdist3_coh9700   1.11      4.57141
2004.8816180935034      36.00457     -120.56195    5.428      8.93305             21420797    SJBPK1022_freq8-24Hz_maxdist3_coh9700   1.03      4.36164
2004.2460555808541      35.94948     -120.49746   11.010      8.46837             21354834    SJBPK1023_freq8-24Hz_maxdist3_coh9700   2.16      8.46837
2007.6538199200913      35.94948     -120.49746   11.010     15.78061             51185980    SJBPK1023_freq8-24Hz_maxdist3_coh9700   1.91      7.31223
2004.2447910025805      35.89262     -120.43923   10.730      4.57141             21354702    SJBPK1024_freq8-24Hz_maxdist3_coh9700   1.11      4.57141
2004.7600292514167      35.89262     -120.43923   10.730      9.41927             21404866    SJBPK1024_freq8-24Hz_maxdist3_coh9700   1.21      4.84786
2004.8337421890812      35.89262     -120.43923   10.730     14.04467             21416208    SJBPK1024_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
2004.9029785531775      35.89262     -120.43923   10.730     18.64300             21422888    SJBPK1024_freq8-24Hz_maxdist3_coh9700   1.12      4.59833
2004.9601110605140      35.89262     -120.43923   10.730     24.06301             21427936    SJBPK1024_freq8-24Hz_maxdist3_coh9700   1.40      5.42001
2005.1483519152714      35.89262     -120.43923   10.730     29.48302             21441436    SJBPK1024_freq8-24Hz_maxdist3_coh9700   1.40      5.42001
2005.5123281329275      35.89262     -120.43923   10.730     34.41703             21467614    SJBPK1024_freq8-24Hz_maxdist3_coh9700   1.24      4.93401
2005.7470401445967      35.89262     -120.43923   10.730     39.58833             21486689    SJBPK1024_freq8-24Hz_maxdist3_coh9700   1.32      5.17130
2006.2499801496701      35.89262     -120.43923   10.730     44.15974             21511399    SJBPK1024_freq8-24Hz_maxdist3_coh9700   1.11      4.57141
2007.0773302257737      35.89262     -120.43923   10.730     48.54707             51178157    SJBPK1024_freq8-24Hz_maxdist3_coh9700   1.04      4.38733
1998.7485156646374      36.47816     -121.05614    7.598      8.07979             30199867    SJBPK1025_freq8-24Hz_maxdist3_coh9700   2.08      8.07979
2000.4370931681340      36.47816     -121.05614    7.598     15.87989             30221955    SJBPK1025_freq8-24Hz_maxdist3_coh9700   2.02      7.80010
2004.2425122381603      36.47816     -121.05614    7.598     23.81860             21354474    SJBPK1025_freq8-24Hz_maxdist3_coh9700   2.05      7.93871
2004.2345333055050      36.65454     -121.27721    8.639      5.74778             21353503    SJBPK1026_freq8-24Hz_maxdist3_coh9700   1.50      5.74778
2006.1396683155758      36.65454     -121.27721    8.639     10.98017             21506878    SJBPK1026_freq8-24Hz_maxdist3_coh9700   1.34      5.23239
1997.5446860096397      36.96416     -121.58864    6.386      4.84786             51015730    SJBPK1027_freq8-24Hz_maxdist3_coh9700   1.21      4.84786
1998.7372132483511      36.96416     -121.58864    6.386      9.52790             30199100    SJBPK1027_freq8-24Hz_maxdist3_coh9700   1.15      4.68004
2004.2314526411658      36.96416     -121.58864    6.386     14.43303             21353379    SJBPK1027_freq8-24Hz_maxdist3_coh9700   1.23      4.90512
2018.5762988647894      36.96416     -121.58864    6.386     19.45472             73060516    SJBPK1027_freq8-24Hz_maxdist3_coh9700   1.27      5.02169
