Doublet_ID	Avg_CC	No_CC	std_m_s	No_ddt_m Date Time Lat_deg Lon_deg	Depth_km Mag Date_2 Time_2 Lat_deg_2 Lon_deg_2	Depth_km_2 Mag_2
1993074_2014327	0.952	9	0.0182	9	1993/03/15	00:42:24.060	39.610	143.289	27.5	5.1	2014/11/23	13:34:54.760	39.602	143.262	18.2	5.0
1993079_2006072	0.960	9	0.0099	5	1993/03/20	01:02:46.050	36.078	141.587	33.5	5.1	2006/03/13	04:15:33.930	36.041	141.528	33.9	5.0
1993096_2001254	0.952	15	0.0114	8	1993/04/06	00:59:13.670	45.481	150.711	46.6	5.2	2001/09/11	18:21:09.230	45.447	150.683	33.0	5.5
1993100_2007060	0.956	7	0.0091	5	1993/04/10	09:12:38.860	-0.212	124.385	39.2	5.4	2007/03/01	15:15:23.850	-0.239	124.360	42.5	5.4
1993137_2008201	0.972	8	0.0133	4	1993/05/17	04:32:42.830	37.561	142.569	28.5	5.3	2008/07/19	02:47:29.440	37.562	142.402	31.4	5.3
1993157_2012137	0.953	9	0.0228	6	1993/06/06	06:18:42.780	-24.567	-175.857	33.0	5.1	2012/05/16	01:28:17.960	-24.566	-175.965	10.0	5.2
1993197_2015070	0.960	7	0.0233	5	1993/07/16	12:55:36.130	10.810	-86.270	25.8	5.3	2015/03/11	16:23:37.870	10.656	-86.402	12.0	5.2
1993198_2015246	0.970	9	0.0174	8	1993/07/17	17:17:30.030	2.036	126.678	63.0	5.5	2015/09/03	13:24:00.690	2.055	126.682	53.0	5.5
1993208_2012060	0.953	4	0.0092	2	1993/07/27	11:53:10.470	-12.577	166.495	43.6	5.2	2012/02/29	07:05:12.110	-12.543	166.487	80.7	5.1
1993215_2002171	0.975	4	0.0132	3	1993/08/03	12:21:57.410	-12.037	166.077	33.0	5.3	2002/06/20	03:02:36.950	-12.012	166.106	33.0	5.3
1993254_2008153	0.977	4	0.0056	4	1993/09/11	12:44:51.900	2.245	126.754	72.7	5.0	2008/06/01	15:31:42.480	2.243	126.833	71.4	5.0
1993292_2003196	0.965	4	0.0166	4	1993/10/19	09:47:12.360	-5.163	151.901	44.3	5.5	2003/07/15	09:25:58.800	-5.139	151.826	45.0	5.3
1993309_2004130	0.966	12	0.0057	7	1993/11/05	07:02:06.110	-7.033	106.101	74.8	5.2	2004/05/09	22:25:31.130	-6.944	106.178	78.3	5.2
1993329_2003075	0.978	6	0.0118	5	1993/11/25	21:45:24.770	12.252	125.775	30.0	5.4	2003/03/16	09:00:27.050	12.181	125.826	30.4	5.4
1993334_2013205	0.962	4	0.0085	2	1993/11/30	03:21:31.470	-3.580	101.601	45.2	5.1	2013/07/24	21:39:22.260	-3.607	101.509	57.4	5.2
1993362_2008059	0.955	16	0.0055	10	1993/12/28	22:20:47.580	49.356	155.614	53.6	5.1	2008/02/28	11:55:06.130	49.370	155.543	60.1	5.1
1994102_1997267	0.954	6	0.0254	4	1994/04/12	14:42:48.900	-21.034	-174.175	30.9	5.5	1997/09/24	15:16:28.340	-21.024	-174.273	33.0	5.1
1994113_1995008	0.956	11	0.0116	11	1994/04/23	19:36:45.830	40.154	142.506	45.9	5.1	1995/01/08	09:37:13.960	40.184	142.449	44.5	5.0
1994113_2013206	0.963	12	0.0178	10	1994/04/23	19:36:45.830	40.154	142.506	45.9	5.1	2013/07/25	19:05:07.130	40.199	142.472	44.9	5.0
1994191_2010155	0.978	18	0.0087	9	1994/07/10	23:14:06.450	36.478	70.150	230.4	5.2	2010/06/04	11:49:41.580	36.501	70.170	220.6	5.1
1994214_2003079	0.966	9	0.0087	6	1994/08/02	07:37:52.820	-10.422	117.005	48.6	5.1	2003/03/20	17:15:13.470	-10.321	117.050	33.0	5.0
1994215_2013295	0.954	18	0.0253	6	1994/08/03	01:22:20.090	-6.363	154.943	54.1	5.4	2013/10/22	21:15:51.220	-6.345	154.966	50.0	5.5
1994217_2008176	0.968	21	0.0108	18	1994/08/05	03:39:05.250	-3.177	101.466	68.5	5.4	2008/06/24	19:14:44.150	-3.185	101.433	49.0	5.1
1994217_2011170	0.951	20	0.0101	17	1994/08/05	03:39:05.250	-3.177	101.466	68.5	5.4	2011/06/19	04:15:58.980	-3.247	101.361	57.1	5.4
1994229_2012213	0.971	7	0.0170	2	1994/08/17	22:31:49.490	-4.736	103.151	93.1	5.1	2012/07/31	06:50:15.610	-4.769	103.086	70.5	5.2
1994277_1994279	0.952	38	0.0120	30	1994/10/04	15:43:07.800	43.287	148.151	25.0	5.3	1994/10/06	07:46:35.440	43.239	148.061	32.7	5.6
