00A YYYY.dec             Lat            Lon        Depth     cumD(cm)                 EVID                       CSID                   Mag        D(cm)
2014.8688225837138      36.96078     -121.58176    5.130     20.64940             72346261    SJBPK1011_freq8-24Hz_maxdist3_coh9650   1.76      6.69576
2003.9784765664638      37.20762     -122.11764   11.445      5.17130             21324953    SJBPK1012_freq8-24Hz_maxdist3_coh9650   1.32      5.17130
2010.6539980974126      37.20762     -122.11764   11.445     10.28223             71447390    SJBPK1012_freq8-24Hz_maxdist3_coh9650   1.30      5.11093
2003.9639780568239      36.81829     -121.53765    5.762     12.77321             21323165    SJBPK1013_freq8-24Hz_maxdist3_coh9650   2.86     12.77321
2012.8352805922384      36.81829     -121.53765    5.762     25.32339             71873265    SJBPK1013_freq8-24Hz_maxdist3_coh9650   2.83     12.55018
2003.9602693429731      35.96231     -120.51540    3.320      4.46529             21322928    SJBPK1014_freq8-24Hz_maxdist3_coh9650   1.07      4.46529
2005.1329682902081      35.96231     -120.51540    3.320      9.11794             21440306    SJBPK1014_freq8-24Hz_maxdist3_coh9650   1.14      4.65265
2003.9154928970065      35.99067     -120.54899    4.804      4.54465             21320913    SJBPK1015_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2004.8451627327463      35.99067     -120.54899    4.804      9.08929             21417306    SJBPK1015_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2005.1338904743784      35.99067     -120.54899    4.804     13.40001             21440400    SJBPK1015_freq8-24Hz_maxdist3_coh9650   1.01      4.31072
2003.9035071664130      35.97882     -120.53575    4.176      4.54465             21320324    SJBPK1016_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2004.8916109466707      35.97882     -120.53575    4.176      8.98380             21421742    SJBPK1016_freq8-24Hz_maxdist3_coh9650   1.06      4.43915
2005.1260434107053      35.97882     -120.53575    4.176     13.44909             21439846    SJBPK1016_freq8-24Hz_maxdist3_coh9650   1.07      4.46529
2005.2713545471843      35.97882     -120.53575    4.176     17.83642             21449234    SJBPK1016_freq8-24Hz_maxdist3_coh9650   1.04      4.38733
2005.6790051052765      35.97882     -120.53575    4.176     22.27557             21481707    SJBPK1016_freq8-24Hz_maxdist3_coh9650   1.06      4.43915
2005.6790081177066      35.97882     -120.53575    4.176     26.71472             21481709    SJBPK1016_freq8-24Hz_maxdist3_coh9650   1.06      4.43915
2005.6790081177066      36.44697     -121.01546    0.876      5.17130             21319794    SJBPK1017_freq8-24Hz_maxdist3_coh9650   1.32      5.17130
2005.1088886035009      36.44697     -121.01546    0.876     10.31233             21438467    SJBPK1017_freq8-24Hz_maxdist3_coh9650   1.31      5.14103
2006.5213876204973      36.44697     -121.01546    0.876     15.82866             21526640    SJBPK1017_freq8-24Hz_maxdist3_coh9650   1.43      5.51633
2007.7675779426686      36.44697     -121.01546    0.876     20.59187             71072595    SJBPK1017_freq8-24Hz_maxdist3_coh9650   1.18      4.76321
2015.4116999302385      36.44697     -121.01546    0.876     25.24452             72458591    SJBPK1017_freq8-24Hz_maxdist3_coh9650   1.14      4.65265
2003.8939599822424      36.95296     -121.44817    4.473      4.87641             21319575    SJBPK1018_freq8-24Hz_maxdist3_coh9650   1.22      4.87641
2016.1101428101599      36.95296     -121.44817    4.473      9.26374             72588795    SJBPK1018_freq8-24Hz_maxdist3_coh9650   1.04      4.38733
1994.8058252156266      36.64219     -121.25616    5.004      4.33611             30061056    SJBPK1019_freq8-24Hz_maxdist3_coh9650   1.02      4.33611
2003.8898755707762      36.64219     -121.25616    5.004      9.35780             21319300    SJBPK1019_freq8-24Hz_maxdist3_coh9650   1.27      5.02169
2019.0754389269407      36.64219     -121.25616    5.004     13.71944             73137306    SJBPK1019_freq8-24Hz_maxdist3_coh9650   1.03      4.36164
2012.8053456410646      36.31034     -120.85684    6.915      6.42614             71864235     SJBPK101_freq8-24Hz_maxdist3_coh9650   1.69      6.42614
2012.8207497533394      36.31034     -120.85684    6.915     13.40284             71869090     SJBPK101_freq8-24Hz_maxdist3_coh9650   1.83      6.97670
2003.8733714167936      36.01580     -120.57377    6.184      4.57141             21318486    SJBPK1020_freq8-24Hz_maxdist3_coh9650   1.11      4.57141
2005.2032889079148      36.01580     -120.57377    6.184      8.93305             21445663    SJBPK1020_freq8-24Hz_maxdist3_coh9650   1.03      4.36164
2005.2032889079148      36.96666     -121.60141    2.635      4.33611             40081733    SJBPK1021_freq8-24Hz_maxdist3_coh9650   1.02      4.33611
2003.8715413812786      36.96666     -121.60141    2.635      9.04371             21318416    SJBPK1021_freq8-24Hz_maxdist3_coh9650   1.16      4.70761
2003.8648192858955      36.64298     -121.25870    5.869      7.70904             21318032    SJBPK1022_freq8-24Hz_maxdist3_coh9650   2.00      7.70904
2006.7842812341451      36.64298     -121.25870    5.869     15.23912             21542613    SJBPK1022_freq8-24Hz_maxdist3_coh9650   1.96      7.53009
2010.3243243911720      36.64298     -121.25870    5.869     21.70310             71389946    SJBPK1022_freq8-24Hz_maxdist3_coh9650   1.70      6.46398
2017.8689824644850      36.64298     -121.25870    5.869     28.92997             72923760    SJBPK1022_freq8-24Hz_maxdist3_coh9650   1.89      7.22687
2017.8689824644850      36.06516     -120.64338    0.412      4.54465             21317268    SJBPK1023_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2005.2087295788940      36.06516     -120.64338    0.412      9.08929             21446095    SJBPK1023_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2003.8446506532216      36.29791     -120.87672    5.768      4.68004             21317063    SJBPK1024_freq8-24Hz_maxdist3_coh9650   1.15      4.68004
2004.9814493839810      36.29791     -120.87672    5.768      9.70174             21429872    SJBPK1024_freq8-24Hz_maxdist3_coh9650   1.27      5.02169
2007.1678573059360      36.29791     -120.87672    5.768     14.43706             40194108    SJBPK1024_freq8-24Hz_maxdist3_coh9650   1.17      4.73533
2008.3835817015786      36.29791     -120.87672    5.768     19.48833             51203005    SJBPK1024_freq8-24Hz_maxdist3_coh9650   1.28      5.05126
2009.5300491501775      36.29791     -120.87672    5.768     24.08666             71247836    SJBPK1024_freq8-24Hz_maxdist3_coh9650   1.12      4.59833
2015.0485881532218      36.29791     -120.87672    5.768     29.25796             72382821    SJBPK1024_freq8-24Hz_maxdist3_coh9650   1.32      5.17130
2018.5159974949265      36.29791     -120.87672    5.768     33.69711             73041506    SJBPK1024_freq8-24Hz_maxdist3_coh9650   1.06      4.43915
2003.8313036212583      35.98650     -120.54490    2.394      4.54465             21316330    SJBPK1025_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2004.8370969629123      35.98650     -120.54490    2.394      8.93197             21416543    SJBPK1025_freq8-24Hz_maxdist3_coh9650   1.04      4.38733
2005.0180324708269      35.98650     -120.54490    2.394     13.24269             21432426    SJBPK1025_freq8-24Hz_maxdist3_coh9650   1.01      4.31072
2003.8297539003045      36.58239     -121.17962    4.010      4.36164             21316237    SJBPK1026_freq8-24Hz_maxdist3_coh9650   1.03      4.36164
2004.6949290060211      36.58239     -121.17962    4.010      8.77481             21394626    SJBPK1026_freq8-24Hz_maxdist3_coh9650   1.05      4.41316
2003.8192978500761      36.48468     -121.06194    5.431      4.46529             21315424    SJBPK1027_freq8-24Hz_maxdist3_coh9650   1.07      4.46529
2014.7053195395738      36.48468     -121.06194    5.431      9.06362             72299421    SJBPK1027_freq8-24Hz_maxdist3_coh9650   1.12      4.59833
2003.8139165081177      36.88482     -121.61999    7.463      4.79126             21314824    SJBPK1028_freq8-24Hz_maxdist3_coh9650   1.19      4.79126
2006.0867853247082      36.88482     -121.61999    7.463      9.17859             21504764    SJBPK1028_freq8-24Hz_maxdist3_coh9650   1.04      4.38733
2003.8136582952816      36.69559     -121.33324    4.139      6.46398             21314801    SJBPK1029_freq8-24Hz_maxdist3_coh9650   1.70      6.46398
2009.0527595763572      36.69559     -121.33324    4.139     12.92796             51215558    SJBPK1029_freq8-24Hz_maxdist3_coh9650   1.70      6.46398
2016.0465281572556      36.69559     -121.33324    4.139     17.94965             72581261    SJBPK1029_freq8-24Hz_maxdist3_coh9650   1.27      5.02169
2012.8053086419752      36.30958     -120.85601    7.116      6.16737             71864225     SJBPK102_freq8-24Hz_maxdist3_coh9650   1.62      6.16737
