00A YYYY.dec             Lat            Lon        Depth     cumD(cm)                 EVID                       CSID                   Mag        D(cm)
2019.7948269279555      36.65008     -121.27245   10.092      5.64742             73293655       SJBPK0_freq8-24Hz_maxdist3_coh9800   1.47      5.64742
2019.8242729578894      36.65008     -121.27245   10.092     10.41063             73298305       SJBPK0_freq8-24Hz_maxdist3_coh9800   1.18      4.76321
2018.2451346714865      35.98798     -120.54571    4.678      4.81948             30224229    SJBPK1000_freq8-24Hz_maxdist3_coh9800   1.20      4.81948
2004.3427589936248      35.98798     -120.54571    4.678      9.18112             21362491    SJBPK1000_freq8-24Hz_maxdist3_coh9800   1.03      4.36164
2005.0293205542871      35.98798     -120.54571    4.678     13.56845             21433014    SJBPK1000_freq8-24Hz_maxdist3_coh9800   1.04      4.38733
2005.2424446029934      35.98798     -120.54571    4.678     17.93009             21447734    SJBPK1000_freq8-24Hz_maxdist3_coh9800   1.03      4.36164
2005.5476053082191      35.98798     -120.54571    4.678     22.42168             21470260    SJBPK1000_freq8-24Hz_maxdist3_coh9800   1.08      4.49159
2005.7831838533739      35.98798     -120.54571    4.678     26.88697             21489334    SJBPK1000_freq8-24Hz_maxdist3_coh9800   1.07      4.46529
2004.2801385410341      36.00307     -120.56153    9.886      4.51804             21357630    SJBPK1001_freq8-24Hz_maxdist3_coh9800   1.09      4.51804
2004.7521402550092      36.00307     -120.56153    9.886      9.03608             21402426    SJBPK1001_freq8-24Hz_maxdist3_coh9800   1.09      4.51804
2004.8385067230824      36.00307     -120.56153    9.886     13.60749             21416692    SJBPK1001_freq8-24Hz_maxdist3_coh9800   1.11      4.57141
2004.8991953804898      36.00307     -120.56153    9.886     18.12552             21422530    SJBPK1001_freq8-24Hz_maxdist3_coh9800   1.09      4.51804
2004.2784171979356      36.77148     -121.46716    6.173      5.61436             21357460    SJBPK1002_freq8-24Hz_maxdist3_coh9800   1.46      5.61436
2011.3531243975140      36.77148     -121.46716    6.173     10.26700             71567535    SJBPK1002_freq8-24Hz_maxdist3_coh9800   1.14      4.65265
2004.2654041755211      36.37960     -120.94717    2.412      4.70761             21356356    SJBPK1003_freq8-24Hz_maxdist3_coh9800   1.16      4.70761
2005.1985414446981      36.37960     -120.94717    2.412      9.41521             21445322    SJBPK1003_freq8-24Hz_maxdist3_coh9800   1.16      4.70761
2004.2630551128314      36.00457     -120.56195    5.428      4.57141             21356119    SJBPK1004_freq8-24Hz_maxdist3_coh9800   1.11      4.57141
2004.8816180935034      36.00457     -120.56195    5.428      8.93305             21420797    SJBPK1004_freq8-24Hz_maxdist3_coh9800   1.03      4.36164
2004.2609185893543      36.57920     -121.17483    5.669      9.80731             21355952    SJBPK1005_freq8-24Hz_maxdist3_coh9800   2.41      9.80731
2005.3277851344494      36.57920     -121.17483    5.669     19.50013             21453274    SJBPK1005_freq8-24Hz_maxdist3_coh9800   2.39      9.69282
2014.8847419774227      36.57920     -121.17483    5.669     29.07979             72350016    SJBPK1005_freq8-24Hz_maxdist3_coh9800   2.37      9.57966
2017.8466327688991      36.57920     -121.17483    5.669     38.43708             72919671    SJBPK1005_freq8-24Hz_maxdist3_coh9800   2.33      9.35729
2004.2460555808541      35.94948     -120.49746   11.010      8.46837             21354834    SJBPK1006_freq8-24Hz_maxdist3_coh9800   2.16      8.46837
2007.6538199200913      35.94948     -120.49746   11.010     15.78061             51185980    SJBPK1006_freq8-24Hz_maxdist3_coh9800   1.91      7.31223
2004.2447910025805      35.89262     -120.43923   10.730      4.57141             21354702    SJBPK1007_freq8-24Hz_maxdist3_coh9800   1.11      4.57141
2004.7600292514167      35.89262     -120.43923   10.730      9.41927             21404866    SJBPK1007_freq8-24Hz_maxdist3_coh9800   1.21      4.84786
2004.8337421890812      35.89262     -120.43923   10.730     14.04467             21416208    SJBPK1007_freq8-24Hz_maxdist3_coh9800   1.13      4.62541
2004.9029785531775      35.89262     -120.43923   10.730     18.64300             21422888    SJBPK1007_freq8-24Hz_maxdist3_coh9800   1.12      4.59833
2004.9601110605140      35.89262     -120.43923   10.730     24.06301             21427936    SJBPK1007_freq8-24Hz_maxdist3_coh9800   1.40      5.42001
2005.1483519152714      35.89262     -120.43923   10.730     29.48302             21441436    SJBPK1007_freq8-24Hz_maxdist3_coh9800   1.40      5.42001
2005.5123281329275      35.89262     -120.43923   10.730     34.41703             21467614    SJBPK1007_freq8-24Hz_maxdist3_coh9800   1.24      4.93401
2005.7470401445967      35.89262     -120.43923   10.730     39.58833             21486689    SJBPK1007_freq8-24Hz_maxdist3_coh9800   1.32      5.17130
2006.2499801496701      35.89262     -120.43923   10.730     44.15974             21511399    SJBPK1007_freq8-24Hz_maxdist3_coh9800   1.11      4.57141
2007.0773302257737      35.89262     -120.43923   10.730     48.54707             51178157    SJBPK1007_freq8-24Hz_maxdist3_coh9800   1.04      4.38733
2000.4370931681340      36.47816     -121.05614    7.598      7.80010             30221955    SJBPK1008_freq8-24Hz_maxdist3_coh9800   2.02      7.80010
2004.2425122381603      36.47816     -121.05614    7.598     15.73881             21354474    SJBPK1008_freq8-24Hz_maxdist3_coh9800   2.05      7.93871
2004.2134294993423      36.23392     -120.79747    7.526      5.42001             21351852    SJBPK1009_freq8-24Hz_maxdist3_coh9800   1.40      5.42001
2007.0927677891932      36.23392     -120.79747    7.526     10.53094             40193242    SJBPK1009_freq8-24Hz_maxdist3_coh9800   1.30      5.11093
2008.1257503541792      36.23392     -120.79747    7.526     15.70224             51196471    SJBPK1009_freq8-24Hz_maxdist3_coh9800   1.32      5.17130
2009.0368184297311      36.23392     -120.79747    7.526     20.30057             40230114    SJBPK1009_freq8-24Hz_maxdist3_coh9800   1.12      4.59833
2014.4742233003551      36.23392     -120.79747    7.526     26.25445             72242076    SJBPK1009_freq8-24Hz_maxdist3_coh9800   1.56      5.95388
2014.2472466387621      36.58628     -121.18666    6.739     11.49212             72191880     SJBPK100_freq8-24Hz_maxdist3_coh9800   2.68     11.49212
2019.7321486237950      36.58628     -121.18666    6.739     23.25734             73279720     SJBPK100_freq8-24Hz_maxdist3_coh9800   2.72     11.76522
2004.2133471526513      36.03018     -120.58780    4.326      9.35729             21351841    SJBPK1010_freq8-24Hz_maxdist3_coh9800   2.33      9.35729
2019.5601946981228      36.03018     -120.58780    4.326     18.23294             73233511    SJBPK1010_freq8-24Hz_maxdist3_coh9800   2.24      8.87565
2004.2110241474397      36.31589     -120.89383    6.290      5.64742             21351456    SJBPK1011_freq8-24Hz_maxdist3_coh9800   1.47      5.64742
2005.5922809170472      36.31589     -120.89383    6.290     11.29484             21474582    SJBPK1011_freq8-24Hz_maxdist3_coh9800   1.47      5.64742
2006.8807998795028      36.31589     -120.89383    6.290     17.35452             21548420    SJBPK1011_freq8-24Hz_maxdist3_coh9800   1.59      6.05968
2009.1948288622527      36.31589     -120.89383    6.290     22.90333             51218188    SJBPK1011_freq8-24Hz_maxdist3_coh9800   1.44      5.54881
2010.7893548959919      36.31589     -120.89383    6.290     28.61746             71474696    SJBPK1011_freq8-24Hz_maxdist3_coh9800   1.49      5.71413
2012.3701188081866      36.31589     -120.89383    6.290     34.26488             71786031    SJBPK1011_freq8-24Hz_maxdist3_coh9800   1.47      5.64742
2017.6427765093861      36.31589     -120.89383    6.290     39.49727             72875295    SJBPK1011_freq8-24Hz_maxdist3_coh9800   1.34      5.23239
2004.2036413428457      36.18015     -120.75185    2.121      6.05968             21350594    SJBPK1012_freq8-24Hz_maxdist3_coh9800   1.59      6.05968
2011.4158471588025      36.18015     -120.75185    2.121     10.87916             71578685    SJBPK1012_freq8-24Hz_maxdist3_coh9800   1.20      4.81948
2018.4393969431760      36.18015     -120.75185    2.121     15.78429             73028221    SJBPK1012_freq8-24Hz_maxdist3_coh9800   1.23      4.90512
1993.9173566083207      35.91886     -120.46649    6.624      4.41316             30036449    SJBPK1013_freq8-24Hz_maxdist3_coh9800   1.05      4.41316
1995.6393335553018      35.91886     -120.46649    6.624      9.55419             30080992    SJBPK1013_freq8-24Hz_maxdist3_coh9800   1.31      5.14103
2004.1734620711900      35.91886     -120.46649    6.624     14.69522             21347683    SJBPK1013_freq8-24Hz_maxdist3_coh9800   1.31      5.14103
2004.7442224499089      35.91886     -120.46649    6.624     19.65828             21401197    SJBPK1013_freq8-24Hz_maxdist3_coh9800   1.25      4.96307
2004.7565987085104      35.91886     -120.46649    6.624     24.36589             21403262    SJBPK1013_freq8-24Hz_maxdist3_coh9800   1.16      4.70761
2004.8302854622041      35.91886     -120.46649    6.624     29.12910             21415938    SJBPK1013_freq8-24Hz_maxdist3_coh9800   1.18      4.76321
2005.1746286783359      35.91886     -120.46649    6.624     34.15079             21443346    SJBPK1013_freq8-24Hz_maxdist3_coh9800   1.27      5.02169
2010.8382763191273      35.91886     -120.46649    6.624     38.51244             71482996    SJBPK1013_freq8-24Hz_maxdist3_coh9800   1.03      4.36164
2018.2758766489092      35.91886     -120.46649    6.624     42.92560             72998326    SJBPK1013_freq8-24Hz_maxdist3_coh9800   1.05      4.41316
1995.5288748414509      36.01409     -120.57366    4.273      7.70904             30077122    SJBPK1014_freq8-24Hz_maxdist3_coh9800   2.00      7.70904
2004.1709337684679      36.01409     -120.57366    4.273     15.41807             21347440    SJBPK1014_freq8-24Hz_maxdist3_coh9800   2.00      7.70904
2004.7726660848007      36.01409     -120.57366    4.273     23.93631             21406213    SJBPK1014_freq8-24Hz_maxdist3_coh9800   2.17      8.51824
2006.0062571347032      36.01409     -120.57366    4.273     31.64535             21501812    SJBPK1014_freq8-24Hz_maxdist3_coh9800   2.00      7.70904
2006.6461265537798      36.01409     -120.57366    4.273     40.01486             21533832    SJBPK1014_freq8-24Hz_maxdist3_coh9800   2.14      8.36951
2007.4072453069507      36.01409     -120.57366    4.273     48.09465             51182366    SJBPK1014_freq8-24Hz_maxdist3_coh9800   2.08      8.07979
2016.9083464253188      36.01409     -120.57366    4.273     55.58065             72730290    SJBPK1014_freq8-24Hz_maxdist3_coh9800   1.95      7.48600
2017.7825586948250      36.01409     -120.57366    4.273     62.31584             72908471    SJBPK1014_freq8-24Hz_maxdist3_coh9800   1.77      6.73519
2019.0274740613902      36.01409     -120.57366    4.273     69.13059             73131811    SJBPK1014_freq8-24Hz_maxdist3_coh9800   1.79      6.81475
2004.1326043247825      36.74415     -121.42486    6.861      4.33611             21344152    SJBPK1015_freq8-24Hz_maxdist3_coh9800   1.02      4.33611
2006.0624000190260      36.74415     -121.42486    6.861      8.88075             21503813    SJBPK1015_freq8-24Hz_maxdist3_coh9800   1.10      4.54465
2010.2207324961948      36.74415     -121.42486    6.861     13.24239             71367020    SJBPK1015_freq8-24Hz_maxdist3_coh9800   1.03      4.36164
2017.3065020294266      36.74415     -121.42486    6.861     17.70769             72792506    SJBPK1015_freq8-24Hz_maxdist3_coh9800   1.07      4.46529
2004.1317078400120      36.46906     -121.04628    5.939      6.05968             21344086    SJBPK1016_freq8-24Hz_maxdist3_coh9800   1.59      6.05968
2008.2662758677393      36.46906     -121.04628    5.939     11.29207             40214744    SJBPK1016_freq8-24Hz_maxdist3_coh9800   1.34      5.23239
2004.0751645036430      36.47337     -121.05053    4.166      8.61886             21338336    SJBPK1017_freq8-24Hz_maxdist3_coh9800   2.19      8.61886
2009.8328610476915      36.47337     -121.05053    4.166     16.84224             71303155    SJBPK1017_freq8-24Hz_maxdist3_coh9800   2.11      8.22337
2017.0323453830542      36.47337     -121.05053    4.166     25.11404             72751380    SJBPK1017_freq8-24Hz_maxdist3_coh9800   2.12      8.27180
2019.0531191653984      36.47337     -121.05053    4.166     32.96007             73134396    SJBPK1017_freq8-24Hz_maxdist3_coh9800   2.03      7.84603
2019.0531191653984      36.24619     -120.80655    5.928      4.99229             21336219    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.26      4.99229
2004.8985938448695      36.24619     -120.80655    5.928     10.10322             21422461    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.30      5.11093
2005.6306103500760      36.24619     -120.80655    5.928     14.83855             21478158    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.17      4.73533
2007.0947960743279      36.24619     -120.80655    5.928     19.83084             40193262    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.26      4.99229
2009.9286637810756      36.24619     -120.80655    5.928     24.70725             71318445    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.22      4.87641
2010.8864134639778      36.24619     -120.80655    5.928     30.94747             71485615    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.64      6.24022
2014.8756951420598      36.24619     -120.80655    5.928     36.69525             72347921    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.50      5.74778
2016.0580564093807      36.24619     -120.80655    5.928     41.60037             72583131    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.23      4.90512
2016.9910529245092      36.24619     -120.80655    5.928     47.51940             72745120    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.55      5.91902
2017.8685485476915      36.24619     -120.80655    5.928     52.51169             72923635    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.26      4.99229
2018.8114014459666      36.24619     -120.80655    5.928     58.25947             73101361    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.50      5.74778
2019.9992695332319      36.24619     -120.80655    5.928     63.31073             73321826    SJBPK1018_freq8-24Hz_maxdist3_coh9800   1.28      5.05126
2019.9992695332319      35.78390     -120.32268    4.002      4.62541             21336161    SJBPK1019_freq8-24Hz_maxdist3_coh9800   1.13      4.62541
2004.7434730128011      35.78390     -120.32268    4.002      9.91960             30228834    SJBPK1019_freq8-24Hz_maxdist3_coh9800   1.36      5.29420
2004.8674103799838      35.78390     -120.32268    4.002     14.73908             30228546    SJBPK1019_freq8-24Hz_maxdist3_coh9800   1.20      4.81948
2011.2070458523592      35.78390     -120.32268    4.002     19.47441             71544326    SJBPK1019_freq8-24Hz_maxdist3_coh9800   1.17      4.73533
2014.2471645104008      36.58818     -121.19399    1.614      7.22687             72191840     SJBPK101_freq8-24Hz_maxdist3_coh9800   1.89      7.22687
2019.6962794266869      36.58818     -121.19399    1.614     13.65300             73269450     SJBPK101_freq8-24Hz_maxdist3_coh9800   1.69      6.42614
1995.9501270611365      36.98821     -121.46724    4.849      6.85488             30091931    SJBPK1020_freq8-24Hz_maxdist3_coh9800   1.80      6.85488
2004.0486152853673      36.98821     -121.46724    4.849     13.95556             21335190    SJBPK1020_freq8-24Hz_maxdist3_coh9800   1.86      7.10068
2004.0290780902146      36.56838     -121.16006    3.571      5.45193             21332858    SJBPK1021_freq8-24Hz_maxdist3_coh9800   1.41      5.45193
2010.4962762239979      36.56838     -121.16006    3.571     10.65368             71417955    SJBPK1021_freq8-24Hz_maxdist3_coh9800   1.33      5.20176
2012.0087647680125      36.56838     -121.16006    3.571     15.58769             71705615    SJBPK1021_freq8-24Hz_maxdist3_coh9800   1.24      4.93401
2004.0070245142683      35.98015     -120.53791    5.574      4.57141             21330703    SJBPK1022_freq8-24Hz_maxdist3_coh9800   1.11      4.57141
2004.0070245142683      35.98015     -120.53791    5.574      9.11605             21421138    SJBPK1022_freq8-24Hz_maxdist3_coh9800   1.10      4.54465
1993.7562708967530      35.85834     -120.39925    4.670      4.62541             30030621    SJBPK1023_freq8-24Hz_maxdist3_coh9800   1.13      4.62541
1993.7562708967530      35.85834     -120.39925    4.670     10.47533             21326702    SJBPK1023_freq8-24Hz_maxdist3_coh9800   1.53      5.84992
2004.7499189498583      35.85834     -120.39925    4.670     16.08968             21401601    SJBPK1023_freq8-24Hz_maxdist3_coh9800   1.46      5.61436
2004.7688784532484      35.85834     -120.39925    4.670     21.77036             21405604    SJBPK1023_freq8-24Hz_maxdist3_coh9800   1.48      5.68068
2004.8332543070735      35.85834     -120.39925    4.670     27.28669             30230151    SJBPK1023_freq8-24Hz_maxdist3_coh9800   1.43      5.51633
2004.8995864640256      35.85834     -120.39925    4.670     32.96736             21422564    SJBPK1023_freq8-24Hz_maxdist3_coh9800   1.48      5.68068
2004.9896105924913      35.85834     -120.39925    4.670     37.78684             21430587    SJBPK1023_freq8-24Hz_maxdist3_coh9800   1.20      4.81948
2005.2734296042618      35.85834     -120.39925    4.670     43.30317             21449342    SJBPK1023_freq8-24Hz_maxdist3_coh9800   1.43      5.51633
2005.5537799974632      35.85834     -120.39925    4.670     48.12265             21471048    SJBPK1023_freq8-24Hz_maxdist3_coh9800   1.20      4.81948
2007.8769194571285      35.85834     -120.39925    4.670     53.73700             40205701    SJBPK1023_freq8-24Hz_maxdist3_coh9800   1.46      5.61436
2003.9528671993912      36.58095     -121.17811    5.084      5.88437             21322510    SJBPK1024_freq8-24Hz_maxdist3_coh9800   1.54      5.88437
2007.4963183346017      36.58095     -121.17811    5.084     11.63215             51183664    SJBPK1024_freq8-24Hz_maxdist3_coh9800   1.50      5.74778
2009.2112083016236      36.58095     -121.17811    5.084     16.59521             40233396    SJBPK1024_freq8-24Hz_maxdist3_coh9800   1.25      4.96307
2011.8825427765094      36.58095     -121.17811    5.084     21.76652             71683711    SJBPK1024_freq8-24Hz_maxdist3_coh9800   1.32      5.17130
2015.2054672120751      36.58095     -121.17811    5.084     26.41916             72412450    SJBPK1024_freq8-24Hz_maxdist3_coh9800   1.14      4.65265
2016.8647361364096      36.58095     -121.17811    5.084     31.07181             72724105    SJBPK1024_freq8-24Hz_maxdist3_coh9800   1.14      4.65265
2018.9949511669204      36.58095     -121.17811    5.084     36.49182             73128181    SJBPK1024_freq8-24Hz_maxdist3_coh9800   1.40      5.42001
2003.9484653094876      36.64629     -121.26477    3.022      5.95388             21322407    SJBPK1025_freq8-24Hz_maxdist3_coh9800   1.56      5.95388
2008.6580840163933      36.64629     -121.26477    3.022     11.43791             51207484    SJBPK1025_freq8-24Hz_maxdist3_coh9800   1.42      5.48403
2003.9390626902587      36.00085     -120.55790    4.440      5.71413             21322016    SJBPK1026_freq8-24Hz_maxdist3_coh9800   1.49      5.71413
2004.8682367878466      36.00085     -120.55790    4.440     11.07086             21419475    SJBPK1026_freq8-24Hz_maxdist3_coh9800   1.38      5.35673
2005.4129254185693      36.00085     -120.55790    4.440     16.12212             21459731    SJBPK1026_freq8-24Hz_maxdist3_coh9800   1.28      5.05126
2005.9041853120243      36.00085     -120.55790    4.440     21.35451             21496880    SJBPK1026_freq8-24Hz_maxdist3_coh9800   1.34      5.23239
2006.4001959030950      36.00085     -120.55790    4.440     26.55627             21519305    SJBPK1026_freq8-24Hz_maxdist3_coh9800   1.33      5.20176
2007.6038998287672      36.00085     -120.55790    4.440     32.33790             40200091    SJBPK1026_freq8-24Hz_maxdist3_coh9800   1.51      5.78163
